,info,title,advantage,drawback,opinion,promotion,welfaresalary,worklifebalance,culture,executives,total,date,region,workingstatus,department
0,금융/재무 | 현직원 | 서울 | 2019/8/24,편하지만 경력개발이불가함 발전이없음 회사든 개인이든 그냥 머물러있는곳임,연차자유롭고 휴가많음 타회사에비해 업무강도낮음 외국계느낌도 있기는 있음 휴가많은게 제일장점임,열정이다들없음 경력개발불가 배울수있는것도 적음 기업내부가 고인물느낌이너무큼 실무자들중에 능력있는사람은 나감 남아있는사람들은 본인 위치에만족해서발전없음,,2.0,2.0,4.0,3.0,1.0,2.4,2019-08-24 00:00:00, 서울 , 현직원 ,금융/재무 
44,연구개발 | 현직원 | 경기 | 2019/1/19,실력있는 사람이 점점 떠나고 있음 인사팀은 사람 관리를 안함,워라벨이 좋은 편임 케바케지만 야근 안하는 사람이 대다수,외노자 급여가 오르질 않음 동종업계 최저임금 이라는 불편한 느낌,인사팀이 직원을 케어한다는 느낌이 1도 없음 불만이면 나가란 식,2.0,1.0,4.0,3.0,1.0,2.2,2019-01-19 00:00:00, 경기 , 현직원 ,연구개발 
45,연구개발 | 현직원 | 경기 | 2019/1/19,신입때부터 워라벨이 좋은 만큼 연봉도 딱 그만큼인 회사 ,연차 눈치안보고 쓸수 있음 워라벨 훌륭 부서by부서,연봉이 중견 대기업급 자동차회사 중 가장 낮음  부품사보다 낮음 ,,3.0,3.0,5.0,3.0,2.0,3.2,2019-01-19 00:00:00, 경기 , 현직원 ,연구개발 
46,엔지니어링 | 현직원 | 경기 | 2019/1/13,어떻게보면 극단적인 곳 워라벨 및 글로벌 OEM 개발업무 모두가 좋으나 급여가 거의 알바 수준,워라벨  설계쪽은 힘들지만 그래도 상대적으로 같은 직종에서는 퇴근이 빠른 편일듯  업무  글로벌 회사와 협업 및 프랑스 모회사의 컨택이 필수라서 영어 사용 잗음 이런 스타일 선호 하는 사람들한테는 추천,급여  단도직입적으로 금수저 혹은 배우자가 고소득자 아니면 비추  업무  엔지니어 업무를 잘 안함 보통 일정 관리 및 매니징 정도 엔지니어로서 소양을 기르기엔 다른 동종 회사에 비해 버거울듯 설계가 모든 일을 다 하다보니 본연 설계의 일을 잘 못함,프랑스인들한테 착취가 너무 심하니 이부분 보완이 시급 연구원 책임급 다들 이직 준비중임 미래가 불투명함,4.0,2.0,4.0,4.0,2.0,3.2,2019-01-13 00:00:00, 경기 , 현직원 ,엔지니어링 
47,연구개발 | 전직원 | 경기 | 2019/1/5,기업문화는 좋으나 연봉은 짜요 글로벌 업무경험 가능,국내 타 대기업에 비해 능력만 있으면 빠른 승진 가능 프랑스 일본 등 해외 경험 가능 자동차를 좋아하는 사람이라면 무조건 완성차로 가야함휴가가 많고 다 써야함,연봉이 적음 타 완성차는 물론 부품사 대비해서도 적음 외국계 회사의 한계로 모회사가 국내 사업을 언제까지 유지하느냐에 따라 리스크가 있음,한국 시장과 소비자에 대한 관심을 더 보여줬으면 좋겠음 현대기아를 견제할 수 있는 저력을 다시 보여줬으면,4.0,3.0,5.0,5.0,4.0,4.2,2019-01-05 00:00:00, 경기 , 전직원 ,연구개발 
48,연구개발 | 현직원 | 경기 | 2018/12/22,아 이 회사 언제 나가지 하는 사람들만 모여있는 회사,여름휴가 2주겨울휴가 1주 보장 그 외 연휴는 무조건 징검다리 일 안하고 연차 많이 써도 월급이 너무 작아서 그러려니 하는 회사,일잘한다 똑똑하다 하는 사람들은 금새 나가버림 회사가 그렇게 만듦 회사의 장점만 보고 다니려고 해도 월급에 금새 질려서 나가버리게 만드는 회사 이직자가 또 이직하고 현직자도 이직 기회만 엿보는 회사 누군가는 연봉을 1억 받는다고 하고 같은 직급 누군가는 연봉이 5천대라고 하는 연봉테이블을 전혀 알 수 없는 회사,프랑스 눈치 윗사람 눈치만 보면서 혼자 살 궁리만 하지 말고 경영진 답게 아래사람도 챙기고 회사와 직원이 공생할 기회를 좀 찾아봐야한다,2.0,1.0,4.0,3.0,1.0,2.2,2018-12-22 00:00:00, 경기 , 현직원 ,연구개발 
49,생산/제조 | 현직원 | 경기 | 2018/12/20,워라벨 최고이나 르노의 관리속에 그져 하청업체로 일하는 느낌임,연차 눈치없고 담당별 캐바케이나 대체로 7시 전에 대부분 퇴근함 주말근무 해본적 없고 여름휴가 3주 겨울휴가 12주는 눈치1도 없이 쉼 돈 필요없고 워라벨 이다 라는 사람추천,보고체계 엄청 복잡하고 프로세스 많음 혼자 결정할수 없는 하청업체,,3.0,2.0,5.0,5.0,2.0,3.4,2018-12-20 00:00:00, 경기 , 현직원 ,생산/제조 
50,연구개발 | 현직원 | 경기 | 2018/12/15,점점 어려워지고 있는 상황으로 미래에 대한 불투명성이 크다,사내 문화가 유연함 휴가를 편하게 사용 가능 여름휴가 겨울휴가가 따로 있음,다른 제조업에 비해 낮은 연봉 발전이 없어 보임 임원진들의 안이함,,3.0,3.0,4.0,4.0,1.0,3.0,2018-12-15 00:00:00, 경기 , 현직원 ,연구개발 
51,생산/제조 | 전직원 | 부산 | 2018/12/10,밥도 맛있고 작업환경도 좋은 편에 속함 부서마다 차이점은 있으나 대체로 괜찮다고 느껴짐,각 공정마다 필요한 인원이 적절하게 배치되어 있고 라인마다 에어컨이 달려있어 더운 날씨에도 작업하기 편함 그리고 식당이 매우 잘되있는 편이고 맛도 좋음 메뉴가 두가지로 결정할 수 있음 밥먹으러 회사 갈까 싶을 정도,부서마다 헬 작업구간이 있음 좋은 부서는 좋지만 나쁜 부서는 진짜 욕 나올 정도의 환경이기도 함 그리고 화장실이 청결하다고는 하기 힘든거 같음,르노삼성같은 경우 시간당 생산대수가 60uph인데가 혼류 생산방식이라 작업자들이 힘겨워 할 때가 많은데 그런걸 고려해줬으면 하는 바램이 있음,4.0,5.0,3.0,3.0,3.0,3.6,2018-12-10 00:00:00, 부산 , 전직원 ,생산/제조 
52,연구개발 | 현직원 | 경기 | 2018/12/3,기술 식민지 내가 열심히 하면 뭔가 할 수 있는 게 있지 않을까 착각인 거 깨닫는데 한달이면 족함,일 안해도 짬 되면 상관 없음 일과 삶 밸런스는 최고,글로벌 회사 무슨 기술 식민지 할 수 있는 게 없음 나 잘났다고 할 수 있는 거 하나 없는 회사,,3.0,1.0,5.0,2.0,2.0,2.6,2018-12-03 00:00:00, 경기 , 현직원 ,연구개발 
53,생산관리/품질관리 | 현직원 | 경기 | 2018/11/27,대기업 수준의 연봉은 아니고 워라밸도 팀별로 천차만별이지만 최근들어 대체적으로 안좋음,업무를 할때 완성차의 직원으로서 넓은 시야를 가지고 일할 수 있다 또한 르노닛산얼라이언스의 일부로서 외국인들과 협업이 잦아 글로벌 마인드를 키우기에 좋다,대기업수준의 연봉은 아니고 중견기업 정도의 연봉을 기대하면 된다 워라밸이 가장 큰 장점이었으나 최근들어 많은 인력누출로 인하여 이마저도 부서별로 천차만별,,2.0,3.0,4.0,4.0,3.0,3.2,2018-11-27 00:00:00, 경기 , 현직원 ,생산관리/품질관리 
54,연구개발 | 현직원 | 경기 | 2018/11/26,외국에 파견 기회나 승진의 기회가 많음 개인의 능력여하에 따라 더 클수도 정체될 수도 있음 자유로운 부분이 많음,휴가가 많다 팀마다 다르겠지만 회사가 대체적으로 보수적인 분위기보다 수평적 자유로움을 추구하고자 노력한다,연봉이 매우 아쉬움 돈을 보고 들어온다면 오래 일하기 어려울듯 또한 전산시스템이 좀 번거롭고 불편함,수익을 내기 위한 다소 과감함이 필요해보임 그리고 일을 안하는 사람들을 너무 오래 붙잡고 있을 필요 없음 내보낼 사람은 내보내야함,4.0,3.0,4.0,4.0,3.0,3.6,2018-11-26 00:00:00, 경기 , 현직원 ,연구개발 
55,생산/제조 | 전직원 | 부산 | 2018/11/22,급여는 괜찮았으나 오래 할만한 일은 아닌듯 싶음,연차는 자유롭게 쓸수 있었고 아침 점심 밥 다 나옴 통근버스가 있음,계약직은 단순 알바에 불과함 정규직 전환 절대 없음 기대하지 말것,경영진에 바라는 점은 없고 요즘 파업 때문에 난리던데 제발 정신좀 차렸으면,3.0,4.0,1.0,4.0,4.0,3.2,2018-11-22 00:00:00, 부산 , 전직원 ,생산/제조 
56,영업/제휴 | 전직원 | 경기 | 2018/11/8,시간을 잘 활용하여 나만의 영역을 빠르게 구축해 나가야 하는 곳 시간 활용이 자유로운 만큼 도태되기도 쉽다,시간이 자유롭다 영업 자체가 처음이여도 체계적인 교육을 통해 잘 알려줌 내가 하는만큼 벌어가기 때문에 돈은 많이 벌려면 노력만 한다면 가능,비정규직 계약직도 아님 4대 보험도 안됨 책임을 물 곳이 없음 내 사업이기 때문에 내가 다 책임져야함 수입이 일정치가 않아 돈관리가 힘듬 한번이라도 나태해지면 나락으로 떨어지는 구조,회사에서 영업인에게 투자해주는 것이 적음 예수당이 타사에 비해 현저히 적으며 법인에서 관리를 하다보니 대리점에 대한 혜택이 없음 개선이 필요함,4.0,2.0,3.0,2.0,1.0,2.4,2018-11-08 00:00:00, 경기 , 전직원 ,영업/제휴 
57,IT/인터넷 | 현직원 | 부산 | 2018/11/8,워라밸 좋은 기회의 장이다 낮은 연봉 돈 많이 벌고 싶으면 사업을 해야지,적극적으로 뛰면 많은 기회를 만들 수 있는 환경이다 IT 조직 내부적으로 많은 도전을 하고 있다 적극적으로 참여하면 쉽게 만들 수 없는 좋은 경력을 만들 수 있다 워라밸이 좋다 작은 회사처럼 고속 승진은 힘들지만 짬만 차면 승진한다,동종업계 대비 낮은 연봉 합리적이지 않은 인사 체계 보상을 꼭 현 회사에서 받아야 하나 이직이나 사업해서 벌어야지라고 마음 먹으면 문제되지 않는다,너무 허리띠만 졸라 메지 말고 적극적이고 공격적인 투자가 필요할 듯,4.0,3.0,5.0,4.0,4.0,4.0,2018-11-08 00:00:00, 부산 , 현직원 ,IT/인터넷 
58,연구개발 | 현직원 | 경기 | 2018/11/3,연구직 기준 인사가 모든걸 망친 기업 타업체 대비 연봉 절반 모든 이직자가 이직해온걸 후회하는 기업 프랑스 식의 워크 발란스 기대하고 오면 경력인생 망침 르노 출신이라고 하면 타회사 이직시 연봉을 대폭 삭감하고 시작함태생부터가 프랑스 중앙연구소 tcr 산하의 하청업체로 취급된다는 걸 알았으면 함,부서 잘 걸리면 타 회사대비 업무 강도가 낮고 워크 발란스 좋음,연구소 기준 프랑스 르노 하청업체 대우 동일 완성차 절반수준 임금 연차가 쌓여도 연봉 상승 미미10년차 수석기준 타회사 신입사원보다 적음 인사고과 NI시 연봉 10프로 삭감 대부분의 사람이 이직자로 구성되어 있고 직원의 퇴사이직이 잦고 신규 이직 입사시 업무 적응을 위한 교육멘토 등 부재 이직 입사시 인사가 처음 제시한 연봉과 최종 계약 연봉ㅇㅣ 다름 정규직을 점점 아웃소싱으로 대체중 주요 업무는 루마니어인도중국 등으로 점점 이관됨 대부분의 이직 입사자 입사 후회,,3.0,1.0,4.0,1.0,1.0,2.0,2018-11-03 00:00:00, 경기 , 현직원 ,연구개발 
59,연구개발 | 현직원 | 경기 | 2018/10/30,기존 직원의 경력의 경험과 경력을 인정하지 않는 회사 소수 인원과 소수 부서가 전체 회사 분위기를 흐리고 있음,부서마다 특성이 다르지만 연월차 사용이 비교적’ 자유롭다 본인의 퇴근 후 생활이 중요하고 여유가 있다면 다닐만한 회사,일을 안 하는 인원이 많다 회사 구조상 과차장들도 현업을 해야 하는데 일을 안 하는 인원이 다수 존재함 일을 하고자 하면 한없이 하게되고 안 하고자 하먄 출퇴근만 할수도 있음 기존 직원의 경험 경력을 인정하지 않음,,2.0,1.0,3.0,2.0,1.0,1.8,2018-10-30 00:00:00, 경기 , 현직원 ,연구개발 
60,생산/제조 | 전직원 | 부산 | 2018/10/29,라인일이라 같은 일을 무한 반복 하는 것 밖에 없습니다 저는 스피커 장착 ,같은 일을 그냥 무한 반복하는 일이라 숙달만 되면 편합니다,같은 일만 그냥 무한 반복하는 일이라 숙달만 되면 내가 기계인지사람인지,분위기 생각보다 좋아서 정규직분들은 더 바랄게 없을 것같네요ㅎㅎ,1.0,2.0,3.0,3.0,1.0,2.0,2018-10-29 00:00:00, 부산 , 전직원 ,생산/제조 
61,생산/제조 | 전직원 | 부산 | 2018/10/25,우리나라의 5대 자동차 기업으로 모르는 사람이 없는 기업,본인은 계약직 신분임에도 불구 사람들이 잘해주었다 사내 문화가 좋았음,임금이 짜다 구내식당 음식이 맛없다 노동 강도가 쎄다,일한 만큼 임금을 올려주고 노동 강도를 낮춰주었으면 좋겠다,3.0,3.0,3.0,5.0,3.0,3.4,2018-10-25 00:00:00, 부산 , 전직원 ,생산/제조 
62,연구개발 | 현직원 | 경기 | 2018/10/8,돈 걱정 없는 회사 타이틀 필요한 사람에게 강추,워라밸 최고 연차 모두 사용 가능 남자도 육아휴직 가능,연봉이 짬 월급이 짬 직급이 올라도 월급 안오름 ㅋㅋ 프랑스 눈치 봄,,2.0,1.0,4.0,3.0,2.0,2.4,2018-10-08 00:00:00, 경기 , 현직원 ,연구개발 
63,연구개발 | 현직원 | 경기 | 2018/10/7,자금적으로 여유가 있고 편하게 직장 다니고 싶은 사람들에게 강추 특히 여성분들,연차가 그나마 자유로운 근무복장도 자유연구소 서울 출퇴근이 가능한 셔틀버스 운영,낮은 연봉으로 인한 박탈감이 있고 같은 직급이라도 임금이 다 다름 따라서 연봉체계가 이상해서 임금쳬게를 알수가 없음,외국계기업이지만 국내 투자에 좀 활성화를 ,2.0,1.0,3.0,2.0,1.0,1.8,2018-10-07 00:00:00, 경기 , 현직원 ,연구개발 
64,연구개발 | 현직원 | 경기 | 2018/10/2,배울 수 있는 핵심업무는 없고 의사결정권도 없고 2차밴더에도 무시당하는 기업,워라밸 좋은걸 장점으로 여겨졌지만 주40시간 시행 이후 더 이상 장점이 아님,돈을 적게 주는 걸 당연하게 여김 프랑스 본사 결정없이는 아무것도 못함,,3.0,1.0,4.0,4.0,1.0,2.6,2018-10-02 00:00:00, 경기 , 현직원 ,연구개발 
65,생산/제조 | 전직원 | 부산 | 2018/9/17,어렸던 저에게 돈 버는 것이 얼마나 힘든지 알려준 나름 고마운 회사,기업의 규모만큼 식사나 통근버스 등 복지가 좋고 좋은 선임 분들이 많이 도와 주셨습니다,가혹할만큼 과중한 업무량 2조 2교대 교대근무로 인한 생체리듬 파괴 그중 제일 중요한것은 oem생산하는 단 하나의 차종에 수익구조가 매우 편중되어 있다 이 차종의 물량에 따라 당해 업무량이나 페이가 결정됨,현재 공장 상황은 확실히 모르겠지만 부디 uph를 조금만 낮추고 재고처리에 힘썼으면 좋겠다 이제부터라도 악순환을 끊고 생산직들이 더 힘낼수 있게 해줬으면,2.0,1.0,1.0,3.0,1.0,1.6,2018-09-17 00:00:00, 부산 , 전직원 ,생산/제조 
66,생산/제조 | 전직원 | 부산 | 2018/9/14,쉬는 시간이 정해져있고 사람들이 좋아서 좋았습니다,야근이 별로 없었고 쉬는 시간이 정해져있었기 때문에 편했습니다,근무지가 시내에서 멀리 떨어져있어서 자동차가 없다면 출퇴근이 힘들것같습니다,좋은 자동차를 많이 만들어서 판매하였으면 좋겠습니다,3.0,3.0,3.0,3.0,3.0,3.0,2018-09-14 00:00:00, 부산 , 전직원 ,생산/제조 
67,연구개발 | 현직원 | 경기 | 2018/9/13,발전 없이 당장 편하게 다니기 편한 회사,연차 윗사람 눈치 안보고 사용 가능 책임감 없는 사람이 다니기 좋은 회사 프랑스 본사와의 커뮤니케이션,급여 인상 없음 발전 가능성 적음 복지 줄어듬 경영진 및 매니저가 한국인임 점점 꼰대 분위기로 바뀜,,1.0,1.0,4.0,2.0,1.0,1.8,2018-09-13 00:00:00, 경기 , 현직원 ,연구개발 
68,엔지니어링 | 현직원 | 경기 | 2018/9/6,편하게 하고싶은 일 하면서 경력관리하기 좋은 곳,급여가 작다고 불만이 있지만 가성비로 따지면 괜찮은 곳,완성차 경쟁사 대비 낮은 연봉 경쟁사가 많이 주는 것일 뿐이고 타 제조사 대비하여 중위 이상임,좀더 적극적으로 움직여야 함 르노 본사 눈치 그만 봐야함 딸랑딸랑 보다 똘똘한 사람이 중역이 되어야 함,4.0,4.0,5.0,5.0,3.0,4.2,2018-09-06 00:00:00, 경기 , 현직원 ,엔지니어링 
69,생산/제조 | 전직원 | 부산 | 2018/9/4,생산제조는 자동차 공장의 현장경험 해보러 오시는 분은 한번쯤은 좋은 경험이라고 생각한다,튼튼한 회사 기숙사 지원 점심식대 제공 퇴근을 칼같이 지킨다 연장시 강요없음 휴무일 전부 다 쉰다,부서에 따라 업무강도가 차이가 많이난다 계약직으로 들어오면 나중에 계약직으로 끝남 정직원 전환 가능성 없음 주야간 근무,현장의 문제점들을 잘 캐치하여 신속히 처리해줄것,3.0,4.0,3.0,3.0,3.0,3.2,2018-09-04 00:00:00, 부산 , 전직원 ,생산/제조 
70,연구개발 | 현직원 | 경기 | 2018/9/4,쉬는날이 많은 만큼 들어오는 돈은 적다 받는 돈을 시간으로 나누면 다른회사에 크게 밀리지 않을것 같다 근데 일을 많이 안함,1 휴가 자유롭게 쓴다 2 여름겨울 휴가 2주1주 3 자유로움 4 일을 안함,휴가를 다 같이 씀2주 일하는 시간이 적어 연봉이 낮음 연봉 상승률 낮음,,4.0,3.0,5.0,5.0,3.0,4.0,2018-09-04 00:00:00, 경기 , 현직원 ,연구개발 
71,생산/제조 | 전직원 | 부산 | 2018/8/28,일한 만큼 돈 벌 수 있음 자동차 제조 현장 경험을 쌓을 수 있음,식비 지원 통근 버스 운행 작업복 지급 등 기본 적인 지원을 해줌 업무 로테이션으로 인해 피로감 축소,통근 버스 운행 노선 다양하지 않음 의무적 잔업 성장을 하기에 힘듬 현재 업계의 전망이 밝지 않음 시장에서 경쟁력에 밀려난 상태,판매량 증대를 위해 시장경쟁력을 강화해야함,3.0,3.0,3.0,3.0,3.0,3.0,2018-08-28 00:00:00, 부산 , 전직원 ,생산/제조 
